id_siniestro,fecha_ocurrencia,fecha_reporte,ciudad,ramo,cobertura,proveedor,monto_reclamado,score_reglas,score_ml,score_anomalia,score_nlp,score_final,nivel_riesgo,accion_sugerida,reglas_activadas,explicacion,documentos,asegurado,vehiculo,dias_desde_inicio_poliza,dias_desde_fin_poliza,dias_entre_ocurrencia_reporte,historial_siniestros_asegurado,similar_claim_id,max_similarity,descripcion,id_proveedor,id_asegurado,proveedor_porcentaje_casos_observados,proveedor_lista_restrictiva,poliza_suma_asegurada,monto_vs_suma_asegurada,etiqueta_fraude_simulada
SIN-00449,2026-09-27,2026-10-12,Guayaquil,Vida,Fallecimiento,PRO-0071 - Proveedor documentos,81676.4,100,99.93,100.0,90.0,98.98,Rojo,Priorizar revision documental y analisis antifraude humano,R001_BORDE_VIGENCIA: Evento cerca de vigencia; R002_REPORTE_TARDIO: Reporte tardio; R006_PROVEEDOR_RECURRENTE: Proveedor recurrente; R007_DOCUMENTOS_INCOMPLETOS: Documentos incompletos; R008_DOCUMENTOS_INCONSISTENTES: Documentos inconsistentes; R011_NARRATIVA_SIMILAR: Narrativa similar; R012_MONTO_ATIPICO: Monto atipico; R013_PROVEEDOR_OBSERVADO: Proveedor en lista simulada,El caso queda en nivel Rojo con score 99. Ocurrio muy cerca del inicio o fin de poliza. Existe demora relevante entre ocurrencia y reporte. El proveedor concentra reclamos o casos observados. Faltan documentos para completar validacion. Hay documentos ilegibles o inconsistentes. La descripcion es muy similar a otro reclamo. El monto reclamado es alto frente a la suma asegurada. El proveedor aparece en lista restrictiva simulada. El modelo supervisado tambien asigna una probabilidad sintetica elevada de prioridad. El detector de anomalias lo ubica fuera del patron habitual del dataset. Narrativa comparable con SIN-00025 (100%). No es una acusacion de fraude; es una alerta para revision humana especializada.,"4 faltantes, 4 ilegibles, 1 inconsistentes",ASE-0174,,362,3,15,1,SIN-00025,1.0,Evento reportado con tercero no identificado y documentos pendientes.,PRO-0071,ASE-0174,0.298,True,76386,1.069258764695101,1
SIN-00071,2026-10-26,2026-11-03,Quito,Vida,Fallecimiento,PRO-0043 - Asistencia,76823.47,100,99.98,98.65,90.0,98.86,Rojo,Priorizar revision documental y analisis antifraude humano,R001_BORDE_VIGENCIA: Evento cerca de vigencia; R004_FRECUENCIA_ASEGURADO: Frecuencia del asegurado; R006_PROVEEDOR_RECURRENTE: Proveedor recurrente; R007_DOCUMENTOS_INCOMPLETOS: Documentos incompletos; R008_DOCUMENTOS_INCONSISTENTES: Documentos inconsistentes; R009_DINAMICA_SOSPECHOSA: Dinamica a validar; R011_NARRATIVA_SIMILAR: Narrativa similar; R012_MONTO_ATIPICO: Monto atipico,El caso queda en nivel Rojo con score 99. Ocurrio muy cerca del inicio o fin de poliza. El asegurado concentra varios reclamos recientes. El proveedor concentra reclamos o casos observados. Faltan documentos para completar validacion. Hay documentos ilegibles o inconsistentes. Evento nocturno sin tercero identificado. La descripcion es muy similar a otro reclamo. El monto reclamado es alto frente a la suma asegurada. El modelo supervisado tambien asigna una probabilidad sintetica elevada de prioridad. El detector de anomalias lo ubica fuera del patron habitual del dataset. Narrativa comparable con SIN-00003 (100%). No es una acusacion de fraude; es una alerta para revision humana especializada.,"1 faltantes, 1 ilegibles",ASE-0199,,364,1,8,3,SIN-00003,1.0,Robo ocurrido cerca del inicio de vigencia con denuncia tardía.,PRO-0043,ASE-0199,0.288,False,79865,0.9619166092781569,1
SIN-00066,2026-11-14,2026-12-01,Machala,Vehículos,Daño,PRO-0005 - Perito,60500.84,100,99.92,92.94,90.0,98.27,Rojo,Priorizar revision documental y analisis antifraude humano,R001_BORDE_VIGENCIA: Evento cerca de vigencia; R002_REPORTE_TARDIO: Reporte tardio; R005_FRECUENCIA_VEHICULO: Frecuencia del vehiculo; R008_DOCUMENTOS_INCONSISTENTES: Documentos inconsistentes; R010_TERCERO_NO_IDENTIFICADO: Tercero no identificado; R011_NARRATIVA_SIMILAR: Narrativa similar; R012_MONTO_ATIPICO: Monto atipico,El caso queda en nivel Rojo con score 98. Ocurrio muy cerca del inicio o fin de poliza. Existe demora relevante entre ocurrencia y reporte. El vehiculo aparece en multiples reclamos. Hay documentos ilegibles o inconsistentes. No consta tercero identificado en un caso vehicular. La descripcion es muy similar a otro reclamo. El monto reclamado es alto frente a la suma asegurada. El modelo supervisado tambien asigna una probabilidad sintetica elevada de prioridad. El detector de anomalias lo ubica fuera del patron habitual del dataset. Narrativa comparable con SIN-00003 (100%). No es una acusacion de fraude; es una alerta para revision humana especializada.,2 inconsistentes,ASE-0245,VEH-0142,364,1,17,1,SIN-00003,1.0,Robo ocurrido cerca del inicio de vigencia con denuncia tardía.,PRO-0005,ASE-0245,0.155,False,58576,1.032860557224802,1
SIN-00135,2027-04-10,2027-04-21,Machala,Vehículos,Robo parcial,PRO-0004 - Taller,43050.45,100,99.84,91.89,90.0,98.15,Rojo,Priorizar revision documental y analisis antifraude humano,R001_BORDE_VIGENCIA: Evento cerca de vigencia; R002_REPORTE_TARDIO: Reporte tardio; R003_DEMORA_ROBO: Demora en robo; R004_FRECUENCIA_ASEGURADO: Frecuencia del asegurado; R005_FRECUENCIA_VEHICULO: Frecuencia del vehiculo; R007_DOCUMENTOS_INCOMPLETOS: Documentos incompletos; R008_DOCUMENTOS_INCONSISTENTES: Documentos inconsistentes; R011_NARRATIVA_SIMILAR: Narrativa similar; R012_MONTO_ATIPICO: Monto atipico,El caso queda en nivel Rojo con score 98. Ocurrio muy cerca del inicio o fin de poliza. Existe demora relevante entre ocurrencia y reporte. Robo reportado con demora atipica. El asegurado concentra varios reclamos recientes. El vehiculo aparece en multiples reclamos. Faltan documentos para completar validacion. Hay documentos ilegibles o inconsistentes. La descripcion es muy similar a otro reclamo. El monto reclamado es alto frente a la suma asegurada. El modelo supervisado tambien asigna una probabilidad sintetica elevada de prioridad. El detector de anomalias lo ubica fuera del patron habitual del dataset. Narrativa comparable con SIN-00003 (100%). No es una acusacion de fraude; es una alerta para revision humana especializada.,"2 faltantes, 2 ilegibles",ASE-0029,VEH-0042,364,1,11,3,SIN-00003,1.0,Robo ocurrido cerca del inicio de vigencia con denuncia tardía.,PRO-0004,ASE-0029,0.164,False,45991,0.9360624904872692,1
SIN-00194,2025-01-04,2025-01-23,Ambato,Vehículos,Choque,PRO-0034 - Clínica,70112.97,100,99.93,91.46,90.0,98.13,Rojo,Priorizar revision documental y analisis antifraude humano,R001_BORDE_VIGENCIA: Evento cerca de vigencia; R002_REPORTE_TARDIO: Reporte tardio; R006_PROVEEDOR_RECURRENTE: Proveedor recurrente; R007_DOCUMENTOS_INCOMPLETOS: Documentos incompletos; R008_DOCUMENTOS_INCONSISTENTES: Documentos inconsistentes; R010_TERCERO_NO_IDENTIFICADO: Tercero no identificado; R011_NARRATIVA_SIMILAR: Narrativa similar; R012_MONTO_ATIPICO: Monto atipico,El caso queda en nivel Rojo con score 98. Ocurrio muy cerca del inicio o fin de poliza. Existe demora relevante entre ocurrencia y reporte. El proveedor concentra reclamos o casos observados. Faltan documentos para completar validacion. Hay documentos ilegibles o inconsistentes. No consta tercero identificado en un caso vehicular. La descripcion es muy similar a otro reclamo. El monto reclamado es alto frente a la suma asegurada. El modelo supervisado tambien asigna una probabilidad sintetica elevada de prioridad. El detector de anomalias lo ubica fuera del patron habitual del dataset. Narrativa comparable con SIN-00003 (100%). No es una acusacion de fraude; es una alerta para revision humana especializada.,2 ilegibles,ASE-0056,,1,364,19,0,SIN-00003,1.0,Robo ocurrido cerca del inicio de vigencia con denuncia tardía.,PRO-0034,ASE-0056,0.034,False,69082,1.0149238586028198,1
SIN-01000,2025-04-25,2025-05-10,Loja,Vehículos,Robo parcial,PRO-0012 - Perito,61122.54,100,99.91,89.59,90.0,97.94,Rojo,Priorizar revision documental y analisis antifraude humano,R001_BORDE_VIGENCIA: Evento cerca de vigencia; R002_REPORTE_TARDIO: Reporte tardio; R003_DEMORA_ROBO: Demora en robo; R006_PROVEEDOR_RECURRENTE: Proveedor recurrente; R008_DOCUMENTOS_INCONSISTENTES: Documentos inconsistentes; R010_TERCERO_NO_IDENTIFICADO: Tercero no identificado; R011_NARRATIVA_SIMILAR: Narrativa similar; R012_MONTO_ATIPICO: Monto atipico; R013_PROVEEDOR_OBSERVADO: Proveedor en lista simulada,El caso queda en nivel Rojo con score 98. Ocurrio muy cerca del inicio o fin de poliza. Existe demora relevante entre ocurrencia y reporte. Robo reportado con demora atipica. El proveedor concentra reclamos o casos observados. Hay documentos ilegibles o inconsistentes. No consta tercero identificado en un caso vehicular. La descripcion es muy similar a otro reclamo. El monto reclamado es alto frente a la suma asegurada. El proveedor aparece en lista restrictiva simulada. El modelo supervisado tambien asigna una probabilidad sintetica elevada de prioridad. El detector de anomalias lo ubica fuera del patron habitual del dataset. Narrativa comparable con SIN-00002 (100%). No es una acusacion de fraude; es una alerta para revision humana especializada.,"3 ilegibles, 3 inconsistentes",ASE-0247,,1,364,15,0,SIN-00002,1.0,Daño reportado con narrativa similar a otros reclamos revisados.,PRO-0012,ASE-0247,0.346,True,69058,0.8850899244113644,1
SIN-00005,2026-04-13,2026-05-12,Machala,Vehículos,Robo total,PRO-0069 - Taller,33257.31,100,100.0,83.44,90.0,97.34,Rojo,Priorizar revision documental y analisis antifraude humano,R001_BORDE_VIGENCIA: Evento cerca de vigencia; R002_REPORTE_TARDIO: Reporte tardio; R003_DEMORA_ROBO: Demora en robo; R004_FRECUENCIA_ASEGURADO: Frecuencia del asegurado; R005_FRECUENCIA_VEHICULO: Frecuencia del vehiculo; R006_PROVEEDOR_RECURRENTE: Proveedor recurrente; R007_DOCUMENTOS_INCOMPLETOS: Documentos incompletos; R008_DOCUMENTOS_INCONSISTENTES: Documentos inconsistentes; R011_NARRATIVA_SIMILAR: Narrativa similar,El caso queda en nivel Rojo con score 97. Ocurrio muy cerca del inicio o fin de poliza. Existe demora relevante entre ocurrencia y reporte. Robo reportado con demora atipica. El asegurado concentra varios reclamos recientes. El vehiculo aparece en multiples reclamos. El proveedor concentra reclamos o casos observados. Faltan documentos para completar validacion. Hay documentos ilegibles o inconsistentes. La descripcion es muy similar a otro reclamo. El modelo supervisado tambien asigna una probabilidad sintetica elevada de prioridad. El detector de anomalias lo ubica fuera del patron habitual del dataset. Narrativa comparable con SIN-00002 (100%). No es una acusacion de fraude; es una alerta para revision humana especializada.,"1 faltantes, 1 ilegibles, 1 inconsistentes",ASE-0029,VEH-0042,2,363,29,3,SIN-00002,1.0,Daño reportado con narrativa similar a otros reclamos revisados.,PRO-0069,ASE-0029,0.285,False,45991,0.7231264812680741,1
SIN-00722,2025-02-03,2025-02-22,Loja,Hogar,Incendio,PRO-0061 - Taller,54733.22,100,100.0,82.03,90.0,97.2,Rojo,Priorizar revision documental y analisis antifraude humano,R001_BORDE_VIGENCIA: Evento cerca de vigencia; R002_REPORTE_TARDIO: Reporte tardio; R006_PROVEEDOR_RECURRENTE: Proveedor recurrente; R007_DOCUMENTOS_INCOMPLETOS: Documentos incompletos; R008_DOCUMENTOS_INCONSISTENTES: Documentos inconsistentes; R011_NARRATIVA_SIMILAR: Narrativa similar; R012_MONTO_ATIPICO: Monto atipico,El caso queda en nivel Rojo con score 97. Ocurrio muy cerca del inicio o fin de poliza. Existe demora relevante entre ocurrencia y reporte. El proveedor concentra reclamos o casos observados. Faltan documentos para completar validacion. Hay documentos ilegibles o inconsistentes. La descripcion es muy similar a otro reclamo. El monto reclamado es alto frente a la suma asegurada. El modelo supervisado tambien asigna una probabilidad sintetica elevada de prioridad. El detector de anomalias lo ubica fuera del patron habitual del dataset. Narrativa comparable con SIN-00002 (100%). No es una acusacion de fraude; es una alerta para revision humana especializada.,"2 faltantes, 2 ilegibles, 1 inconsistentes",ASE-0251,,1,364,19,2,SIN-00002,1.0,Daño reportado con narrativa similar a otros reclamos revisados.,PRO-0061,ASE-0251,0.27,False,72021,0.7599619555407451,1
SIN-00102,2026-01-03,2026-01-11,Loja,Vehículos,Daño,PRO-0009 - Taller,43407.9,100,99.98,81.65,90.0,97.16,Rojo,Priorizar revision documental y analisis antifraude humano,R001_BORDE_VIGENCIA: Evento cerca de vigencia; R005_FRECUENCIA_VEHICULO: Frecuencia del vehiculo; R006_PROVEEDOR_RECURRENTE: Proveedor recurrente; R007_DOCUMENTOS_INCOMPLETOS: Documentos incompletos; R008_DOCUMENTOS_INCONSISTENTES: Documentos inconsistentes; R011_NARRATIVA_SIMILAR: Narrativa similar; R012_MONTO_ATIPICO: Monto atipico,El caso queda en nivel Rojo con score 97. Ocurrio muy cerca del inicio o fin de poliza. El vehiculo aparece en multiples reclamos. El proveedor concentra reclamos o casos observados. Faltan documentos para completar validacion. Hay documentos ilegibles o inconsistentes. La descripcion es muy similar a otro reclamo. El monto reclamado es alto frente a la suma asegurada. El modelo supervisado tambien asigna una probabilidad sintetica elevada de prioridad. El detector de anomalias lo ubica fuera del patron habitual del dataset. Narrativa comparable con SIN-00003 (100%). No es una acusacion de fraude; es una alerta para revision humana especializada.,"4 faltantes, 4 ilegibles, 1 inconsistentes",ASE-0213,VEH-0109,358,7,8,2,SIN-00003,1.0,Robo ocurrido cerca del inicio de vigencia con denuncia tardía.,PRO-0009,ASE-0213,0.284,False,42544,1.0203060361037986,1
SIN-00161,2026-03-19,2026-04-15,Machala,Salud,Cirugía,PRO-0015 - Proveedor documentos,66352.49,99,99.93,86.7,90.0,97.1,Rojo,Priorizar revision documental y analisis antifraude humano,R001_BORDE_VIGENCIA: Evento cerca de vigencia; R002_REPORTE_TARDIO: Reporte tardio; R007_DOCUMENTOS_INCOMPLETOS: Documentos incompletos; R008_DOCUMENTOS_INCONSISTENTES: Documentos inconsistentes; R011_NARRATIVA_SIMILAR: Narrativa similar; R012_MONTO_ATIPICO: Monto atipico,El caso queda en nivel Rojo con score 97. Ocurrio muy cerca del inicio o fin de poliza. Existe demora relevante entre ocurrencia y reporte. Faltan documentos para completar validacion. Hay documentos ilegibles o inconsistentes. La descripcion es muy similar a otro reclamo. El monto reclamado es alto frente a la suma asegurada. El modelo supervisado tambien asigna una probabilidad sintetica elevada de prioridad. El detector de anomalias lo ubica fuera del patron habitual del dataset. Narrativa comparable con SIN-00002 (100%). No es una acusacion de fraude; es una alerta para revision humana especializada.,"1 faltantes, 1 ilegibles, 1 inconsistentes",ASE-0165,,1,364,27,1,SIN-00002,1.0,Daño reportado con narrativa similar a otros reclamos revisados.,PRO-0015,ASE-0165,0.023,False,74405,0.891774611921242,1
